,track_id,track_pollen_score,track_shape,track_event,track_tagid,track_hastag,track_startframe,track_startx,track_starty,track_starta,track_endframe,track_endx,track_endy,track_enda,track_length,datetime,track_starttime,track_endtime,pollen,entering,leaving,entering_leaving,walking,video_name,labelbee_videoid,video_filename,video_seq
21513,21513,0.0120124917761149,outside_ramp,entering,677,True,51588,2072,1144,16.69924423399362,51613,1404,344,68.96248897457819,26,2017-06-21 08:42:59.400,2017-06-21 08:42:59.400,2017-06-21 08:43:00.650,False,True,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
21528,21528,0.0001015569212067,inside,,677,True,51621,1120,284,59.47029410006589,51628,832,44,48.99091309842978,8,2017-06-21 08:43:01.050,2017-06-21 08:43:01.050,2017-06-21 08:43:01.400,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
22866,22866,0.0082303513556068,inside_out,leaving,677,True,54610,620,96,109.85521436932106,54656,504,1184,167.61924307119284,47,2017-06-21 08:45:30.500,2017-06-21 08:45:30.500,2017-06-21 08:45:32.800,False,False,True,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
23360,23360,2.6347018888372984e-06,noise,,1900,True,55633,1268,156,223.49256424122504,55637,1216,132,205.8663567940945,5,2017-06-21 08:46:21.650,2017-06-21 08:46:21.650,2017-06-21 08:46:21.850,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
23366,23366,0.0125491975941764,inside_out,leaving,1900,True,55645,1316,212,235.40771131249005,55697,1900,1092,186.51980175165696,53,2017-06-21 08:46:22.250,2017-06-21 08:46:22.250,2017-06-21 08:46:24.850,False,False,True,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
24098,24098,2.16648053814805e-06,outside_ramp,entering,1900,True,57049,544,1084,40.60129464500447,57067,508,632,348.02386755579664,19,2017-06-21 08:47:32.450,2017-06-21 08:47:32.450,2017-06-21 08:47:33.350,False,True,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
25964,25964,0.0084678910392424,inside_out,leaving,1404,True,60254,1668,252,178.7811247648687,60398,1124,1092,171.67434966957316,145,2017-06-21 08:50:12.700,2017-06-21 08:50:12.700,2017-06-21 08:50:19.900,False,False,True,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
26592,26592,0.0837678167487983,ramp_ramp,,1621,True,61649,448,736,188.7461622625552,61668,352,796,0.0,20,2017-06-21 08:51:22.450,2017-06-21 08:51:22.450,2017-06-21 08:51:23.400,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
26598,26598,0.3344268702248275,ramp-inside,,1621,True,61669,356,672,1.7899106082460694,61681,520,44,340.9743939624313,13,2017-06-21 08:51:23.450,2017-06-21 08:51:23.450,2017-06-21 08:51:24.050,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
27327,27327,0.0002021923369284,noise,,1404,True,63185,1720,1024,29.35775354279128,63188,1632,800,22.306205054907643,4,2017-06-21 08:52:39.250,2017-06-21 08:52:39.250,2017-06-21 08:52:39.400,False,False,False,False,False,C02_170621080000.mp4,10939,/mnt/storage/work/jchan/bees/tag_dataset/videos/C02_170621080000.mp4,0
